Ensemble_ID,SL_3uM_r1,SL_3uM_r2,SL_3uM_r3,SL_6uM_r1,SL_6uM_r2,SL_6uM_r3,SL_200uM_r1,SL_200uM_r2,SL_200uM_r3
ENSMUSG00000000001,4260.328,4610.012,4978.413,4002.906,4902.385,4588.0,5228.768,5003.595,5547.004
ENSMUSG00000000056,523.004,539.0,627.0,637.0,890.0,550.0,749.0,1057.0,936.0
ENSMUSG00000000058,3.0,17.0,22.0,0.0,1.0,1.0,0.0,1.0,0.0
ENSMUSG00000000078,1493.0,2616.0,2298.0,673.0,1172.0,780.0,468.0,677.01,569.0
ENSMUSG00000000088,5109.956,5143.998,4826.339,6454.987,5246.748,5341.627,5753.382,6970.0,6407.981
ENSMUSG00000000093,18.0,14.0,25.0,8.0,26.0,8.0,4.0,3.0,1.0
ENSMUSG00000000120,1942.0,1661.0,2522.0,2017.481,557.0,2068.0,1039.0,980.0,1367.0
ENSMUSG00000000125,4.0,5.0,10.0,3.0,4.0,7.0,2.0,0.0,1.0
ENSMUSG00000000171,2869.112,3320.0,3111.464,3928.999,4127.911,3214.0,3526.083,3584.131,4164.0
ENSMUSG00000000183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000197,1.0,3.0,5.0,3.0,7.0,8.0,9.0,14.0,9.0
ENSMUSG00000000216,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000296,757.964,771.184,913.0,530.001,882.0,635.999,251.0,415.126,335.076
ENSMUSG00000000359,2.0,17.0,15.0,5.0,9.0,5.0,6.0,10.0,16.0
ENSMUSG00000000374,937.0,1177.001,1285.867,761.0,1328.027,1028.999,558.0,691.0,679.999
ENSMUSG00000000385,193.0,402.0,412.0,13.0,17.0,21.0,0.0,1.0,0.0
ENSMUSG00000000402,211.0,191.0,212.835,97.0,87.0,99.0,33.0,22.0,38.0
ENSMUSG00000000411,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0
ENSMUSG00000000435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000489,37.0,194.0,376.999,19.0,18.0,54.0,53.0,139.0,71.0
ENSMUSG00000000531,2118.0,1788.0,2505.0,2047.0,4263.003,2635.989,1632.658,2052.0,1889.0
ENSMUSG00000000555,7185.885,6385.0,7442.894,6231.0,8152.317,6263.548,3172.056,3467.935,3298.538
ENSMUSG00000000562,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000567,6.0,6.0,9.0,6.0,4.0,4.0,1.0,0.0,2.0
ENSMUSG00000000581,1935.0,1920.0,1892.146,2087.001,3502.999,2591.996,1157.0,1256.117,1324.149
ENSMUSG00000000594,993.0,4395.001,1728.445,399.0,492.0,400.0,681.0,1319.002,652.0
ENSMUSG00000000682,5.0,5.0,8.0,10.0,17.0,10.0,2.0,3.0,6.0
ENSMUSG00000000690,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000711,1873.0,1962.0,2304.027,1878.0,2611.503,2199.0,1825.193,2676.0,2082.428
ENSMUSG00000000792,74.0,115.0,305.0,77.0,25.0,54.0,59.0,38.0,93.0
ENSMUSG00000000889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000000903,4.0,6.0,8.0,11.0,13.0,16.0,23.0,29.0,25.0
ENSMUSG00000000959,1924.843,1911.0,1877.129,2024.344,2106.943,1776.999,2044.0,2675.999,2199.005
ENSMUSG00000000982,38.0,27.0,34.0,43.0,34.0,36.0,0.0,0.0,2.0
ENSMUSG00000001014,32.0,47.0,20.0,15.0,22.0,27.0,8.0,13.0,11.0
ENSMUSG00000001020,1.0,2.0,5.0,6.0,1.0,2.0,3.0,5.0,7.0
ENSMUSG00000001025,1275.0,1060.469,1002.839,3274.0,988.0,1507.001,929.0,469.0,754.0
ENSMUSG00000001027,14.0,8.0,5.0,17.0,34.0,17.0,4.0,1.0,0.0
ENSMUSG00000001056,4859.144,5143.0,5334.45,8221.947,5701.716,7975.886,6788.437,5428.0,8889.997
ENSMUSG00000001076,20.0,56.0,31.0,14.0,29.0,12.0,16.0,28.0,21.0
ENSMUSG00000001095,60.0,137.0,65.0,39.0,35.0,26.0,9.0,10.0,9.0
ENSMUSG00000001103,5.0,4.0,4.0,5.0,4.0,6.0,1.0,1.0,0.0
ENSMUSG00000001119,7.0,5.0,24.0,6.0,15.0,10.0,6.0,10.0,7.0
ENSMUSG00000001128,28.0,29.0,35.0,159.0,86.0,193.0,167.0,361.0,146.0
ENSMUSG00000001150,7051.15,6061.209,7976.338,5068.0,7722.81,5682.273,4815.83,4120.069,4563.243
ENSMUSG00000001305,2150.259,2393.698,2341.0,2419.001,3206.059,3097.0,2156.969,1858.016,2592.0
ENSMUSG00000001349,11.0,15.0,47.999,14.0,6.0,13.0,11.0,13.0,22.0
ENSMUSG00000001380,4261.0,4369.883,4318.184,5253.0,5403.038,4861.783,4077.89,3788.315,4704.972
ENSMUSG00000001440,32559.35,29154.63,38191.98,38159.648,32362.378,45458.318,38232.334,29962.799,42775.666
ENSMUSG00000001444,2.0,5.0,6.0,6.0,3.0,5.0,1.0,0.0,3.0
ENSMUSG00000001467,1547.0,1827.0,1512.672,1527.736,801.067,1290.0,2734.002,4485.197,2169.0
ENSMUSG00000001473,2551.0,2942.0,3448.0,2535.002,2535.0,2784.237,1656.0,1640.0,2151.103
ENSMUSG00000001494,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
ENSMUSG00000001510,48.0,42.0,101.0,11.0,24.0,23.0,10.0,18.0,14.0
ENSMUSG00000001542,2029.007,1774.187,1994.001,1903.0,2318.304,2024.623,2414.422,2997.999,2323.618
ENSMUSG00000001558,26.0,28.0,24.0,35.0,71.0,23.0,18.0,22.0,30.0
ENSMUSG00000001655,100.0,123.0,163.0,57.0,166.0,68.0,7.0,6.0,10.0
ENSMUSG00000001656,0.0,0.0,1.0,3.0,5.0,5.0,0.0,0.0,0.0
ENSMUSG00000001657,1.0,1.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0
ENSMUSG00000001661,4.0,9.0,9.0,2.0,5.0,4.0,0.0,0.0,0.0
ENSMUSG00000001666,839.0,962.976,909.0,1103.0,1125.837,772.625,814.634,986.0,954.0
ENSMUSG00000001707,2116.208,2422.825,2314.763,2362.446,2900.149,2559.0,2267.0,2498.223,2645.364
ENSMUSG00000001761,335.0,366.0,561.0,610.0,1065.998,902.0,1290.0,1715.0,1435.0
ENSMUSG00000001767,2676.0,2591.683,2724.0,2980.0,4117.511,3443.497,2894.057,2554.005,3424.171
ENSMUSG00000001774,3214.0,3136.134,3210.001,3010.0,2576.426,3170.0,3985.36,3957.0,4434.022
ENSMUSG00000001783,5199.0,5323.126,5213.848,5962.995,6179.359,5653.872,5004.872,5944.521,6049.048
ENSMUSG00000001819,75.0,110.0,117.0,70.0,147.0,68.0,25.0,15.0,15.0
ENSMUSG00000001823,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000001865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000001910,6967.398,6002.123,7600.746,7462.264,7082.577,8820.101,9426.382,9853.608,10417.97
ENSMUSG00000001942,467.001,494.0,540.029,447.0,593.0,478.079,478.0,623.154,461.0
ENSMUSG00000001943,65.0,92.997,102.0,187.0,143.0,106.0,54.0,71.0,79.0
ENSMUSG00000001962,1803.62,1811.0,1665.113,1414.0,2319.904,1619.0,1570.508,1752.0,1807.0
ENSMUSG00000001983,396.0,377.0,441.329,357.0,494.0,367.0,297.994,328.0,347.0
ENSMUSG00000002007,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0
ENSMUSG00000002015,3636.301,5111.0,3996.957,3148.0,3199.562,2737.645,2925.069,2930.0,3135.131
ENSMUSG00000002052,10033.274,8833.903,10728.749,9602.987,15208.806,11521.501,7691.188,6836.182,7924.346
ENSMUSG00000002057,12.0,17.0,7.0,2.0,9.0,3.0,1.0,0.0,0.0
ENSMUSG00000002228,688.0,512.0,743.0,1060.0,450.0,1022.0,819.0,1230.0,1011.998
ENSMUSG00000002257,1539.001,1548.0,1707.0,1164.0,1642.0,1305.0,1076.181,1038.0,1242.0
ENSMUSG00000002324,171.0,138.0,259.0,185.0,115.001,103.0,136.0,282.987,139.995
ENSMUSG00000002326,654.489,675.0,663.523,1001.0,1065.0,902.98,765.026,766.0,807.0
ENSMUSG00000002329,769.0,823.0,858.0,1075.999,1500.195,1191.0,594.0,827.381,708.0
ENSMUSG00000002341,17.0,26.0,43.0,18.0,33.0,25.0,38.0,36.0,29.025
ENSMUSG00000002379,1317.0,1364.0,1395.92,2283.999,1530.99,1609.961,1341.214,1297.0,1807.801
ENSMUSG00000002384,167.658,135.03,183.986,65.122,57.239,38.003,23.156,9.226,27.336
ENSMUSG00000002396,155.0,168.0,141.0,238.0,88.0,162.001,190.001,198.0,226.061
ENSMUSG00000002477,2820.226,3198.946,3235.465,3795.999,3915.735,4173.982,4201.926,4644.307,5292.945
ENSMUSG00000002580,761.0,1097.0,761.0,1033.0,1101.0,753.0,724.24,908.989,879.0
ENSMUSG00000002608,1559.37,1658.08,1559.001,1533.0,2003.308,1413.262,860.616,974.025,940.089
ENSMUSG00000002633,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
ENSMUSG00000002660,1371.0,1451.0,1546.0,2138.476,1718.0,2092.0,1463.023,1296.0,1796.0
