,SL_3_r1,SL_3_r2,SL_3_r3,SL_6_r1,SL_6_r2,SL_6_r3,SL_200_r1,SL_200_r2,SL_200_r3
ENSMUSG00000000001,4260.328,4610.012,4978.413,4002.906,4902.385,4588,5228.768,5003.595,5547.004
ENSMUSG00000000056,523.004,539,627,637,890,550,749,1057,936
ENSMUSG00000000058,3,17,22,0,1,1,0,1,0
ENSMUSG00000000078,1493,2616,2298,673,1172,780,468,677.01,569
ENSMUSG00000000088,5109.956,5143.998,4826.339,6454.987,5246.748,5341.627,5753.382,6970,6407.981
ENSMUSG00000000093,18,14,25,8,26,8,4,3,1
ENSMUSG00000000120,1942,1661,2522,2017.481,557,2068,1039,980,1367
ENSMUSG00000000125,4,5,10,3,4,7,2,0,1
ENSMUSG00000000171,2869.112,3320,3111.464,3928.999,4127.911,3214,3526.083,3584.131,4164
ENSMUSG00000000183,0,0,0,0,0,0,0,0,0
ENSMUSG00000000197,1,3,5,3,7,8,9,14,9
ENSMUSG00000000216,0,0,2,0,0,0,0,0,0
ENSMUSG00000000296,757.964,771.184,913,530.001,882,635.999,251,415.126,335.076
ENSMUSG00000000359,2,17,15,5,9,5,6,10,16
ENSMUSG00000000374,937,1177.001,1285.867,761,1328.027,1028.999,558,691,679.999
ENSMUSG00000000385,193,402,412,13,17,21,0,1,0
ENSMUSG00000000402,211,191,212.835,97,87,99,33,22,38
ENSMUSG00000000411,0,0,3,2,0,0,0,2,0
ENSMUSG00000000435,0,0,0,0,0,0,0,0,0
ENSMUSG00000000489,37,194,376.999,19,18,54,53,139,71
ENSMUSG00000000531,2118,1788,2505,2047,4263.003,2635.989,1632.658,2052,1889
ENSMUSG00000000555,7185.885,6385,7442.894,6231,8152.317,6263.548,3172.056,3467.935,3298.538
ENSMUSG00000000562,0,3,0,0,0,0,0,0,0
ENSMUSG00000000567,6,6,9,6,4,4,1,0,2
ENSMUSG00000000581,1935,1920,1892.146,2087.001,3502.999,2591.996,1157,1256.117,1324.149
ENSMUSG00000000594,993,4395.001,1728.445,399,492,400,681,1319.002,652
ENSMUSG00000000682,5,5,8,10,17,10,2,3,6
ENSMUSG00000000690,0,0,2,0,0,0,0,0,0
ENSMUSG00000000701,0,0,0,0,0,0,0,0,0
ENSMUSG00000000711,1873,1962,2304.027,1878,2611.503,2199,1825.193,2676,2082.428
ENSMUSG00000000792,74,115,305,77,25,54,59,38,93
ENSMUSG00000000889,0,0,0,0,0,0,0,0,0
ENSMUSG00000000903,4,6,8,11,13,16,23,29,25
ENSMUSG00000000959,1924.843,1911,1877.129,2024.344,2106.943,1776.999,2044,2675.999,2199.005
ENSMUSG00000000982,38,27,34,43,34,36,0,0,2
ENSMUSG00000001014,32,47,20,15,22,27,8,13,11
ENSMUSG00000001020,1,2,5,6,1,2,3,5,7
ENSMUSG00000001025,1275,1060.469,1002.839,3274,988,1507.001,929,469,754
ENSMUSG00000001027,14,8,5,17,34,17,4,1,0
ENSMUSG00000001056,4859.144,5143,5334.45,8221.947,5701.716,7975.886,6788.437,5428,8889.997
ENSMUSG00000001076,20,56,31,14,29,12,16,28,21
ENSMUSG00000001095,60,137,65,39,35,26,9,10,9
ENSMUSG00000001103,5,4,4,5,4,6,1,1,0
ENSMUSG00000001119,7,5,24,6,15,10,6,10,7
ENSMUSG00000001128,28,29,35,159,86,193,167,361,146
ENSMUSG00000001150,7051.15,6061.209,7976.338,5068,7722.81,5682.273,4815.83,4120.069,4563.243
ENSMUSG00000001305,2150.259,2393.698,2341,2419.001,3206.059,3097,2156.969,1858.016,2592
ENSMUSG00000001349,11,15,47.999,14,6,13,11,13,22
ENSMUSG00000001380,4261,4369.883,4318.184,5253,5403.038,4861.783,4077.89,3788.315,4704.972
ENSMUSG00000001440,32559.35,29154.63,38191.98,38159.648,32362.378,45458.318,38232.334,29962.799,42775.666
ENSMUSG00000001444,2,5,6,6,3,5,1,0,3
ENSMUSG00000001467,1547,1827,1512.672,1527.736,801.067,1290,2734.002,4485.197,2169
ENSMUSG00000001473,2551,2942,3448,2535.002,2535,2784.237,1656,1640,2151.103
ENSMUSG00000001494,1,1,2,0,1,1,0,0,0
ENSMUSG00000001510,48,42,101,11,24,23,10,18,14
ENSMUSG00000001542,2029.007,1774.187,1994.001,1903,2318.304,2024.623,2414.422,2997.999,2323.618
ENSMUSG00000001558,26,28,24,35,71,23,18,22,30
ENSMUSG00000001655,100,123,163,57,166,68,7,6,10
ENSMUSG00000001656,0,0,1,3,5,5,0,0,0
ENSMUSG00000001657,1,1,1,0,8,1,0,0,0
