gene_id,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10
Gene_1,49,82,24,65,27,44,53,25,43,53
Gene_2,432,224,429,471,519,557,204,548,329,266
Gene_3,127,107,87,59,121,68,86,86,79,39
Gene_4,250,264,226,309,196,148,222,179,237,205
Gene_5,530,558,261,495,535,232,517,509,594,356
Gene_6,301,643,408,509,369,223,408,354,597,327
Gene_7,273,429,410,189,424,341,184,292,277,110
Gene_8,320,261,238,338,369,192,288,397,362,201
Gene_9,521,229,435,260,520,153,270,341,445,391
Gene_10,464,260,455,305,147,266,350,363,378,320
Gene_11,699,251,492,186,167,433,370,416,291,341
Gene_12,330,336,569,385,462,445,451,271,192,353
Gene_13,491,527,373,560,329,286,544,601,323,505
Gene_14,47,116,177,121,51,114,68,59,99,59
Gene_15,193,485,286,316,314,217,259,408,267,531
Gene_16,283,490,596,282,498,291,543,264,285,861
Gene_17,94,161,73,48,105,97,146,64,134,131
Gene_18,473,631,842,815,374,431,619,416,303,419
Gene_19,20,4,6,12,6,11,14,16,11,18
Gene_20,272,209,342,153,444,274,686,471,357,531
Gene_21,316,324,288,315,307,306,303,251,436,173
Gene_22,51,76,54,41,51,34,54,44,57,21
Gene_23,115,164,216,228,216,77,194,166,192,161
Gene_24,222,170,123,170,182,237,169,351,221,272
Gene_25,18,16,29,16,32,17,11,25,28,34
Gene_26,363,282,211,270,442,223,376,219,337,372
Gene_27,46,152,85,152,114,108,128,79,105,79
Gene_28,399,176,313,268,412,286,341,118,279,161
Gene_29,495,397,447,216,742,392,541,579,686,296
Gene_30,185,204,151,122,219,171,168,117,205,167
Gene_31,97,63,48,49,70,37,56,45,57,81
Gene_32,75,68,64,31,66,48,44,58,53,57
Gene_33,162,127,111,128,135,138,107,80,171,152
Gene_34,533,419,353,613,312,541,461,337,272,413
Gene_35,554,590,669,302,532,577,272,427,478,374
Gene_36,64,58,71,121,93,104,75,139,58,61
Gene_37,339,329,377,441,447,734,427,322,259,468
Gene_38,475,312,302,750,358,573,465,258,583,549
Gene_39,259,360,232,159,198,333,389,276,439,258
Gene_40,357,104,223,252,339,191,197,340,184,229
Gene_41,165,205,242,200,310,226,179,199,295,211
Gene_42,26,31,25,33,48,30,24,24,31,18
Gene_43,148,166,189,118,147,239,239,269,180,346
Gene_44,235,366,485,324,452,532,404,233,558,361
Gene_45,280,331,216,294,192,173,311,430,173,502
Gene_46,23,25,23,18,28,34,44,63,22,17
Gene_47,219,189,201,172,175,179,239,128,257,274
Gene_48,490,517,368,340,456,339,347,438,468,271
Gene_49,513,511,467,409,240,534,428,388,707,479
Gene_50,213,140,133,65,253,245,260,165,164,98
Gene_51,304,302,377,273,403,296,265,218,313,262
Gene_52,353,355,227,375,371,282,440,455,374,387
Gene_53,12,15,13,21,7,19,26,11,17,38
Gene_54,190,204,113,170,136,94,71,96,136,133
Gene_55,262,386,355,206,293,502,502,313,552,436
Gene_56,297,447,285,456,508,696,526,209,341,507
Gene_57,120,80,66,49,125,59,129,169,73,147
Gene_58,125,123,106,126,105,163,160,204,184,165
Gene_59,81,53,42,74,56,75,56,75,56,54
Gene_60,64,77,67,75,72,45,123,79,156,103
Gene_61,85,78,109,38,63,61,43,113,71,80
Gene_62,536,372,703,401,478,430,253,419,332,391
Gene_63,100,394,364,260,235,180,345,336,331,121
Gene_64,25,24,14,21,19,17,17,19,23,27
Gene_65,157,233,85,162,128,231,71,142,120,190
Gene_66,5,10,9,4,13,9,11,13,23,17
Gene_67,180,102,127,471,289,259,146,264,216,238
Gene_68,230,373,213,206,137,284,171,194,261,284
Gene_69,474,314,168,64,241,152,257,243,308,194
Gene_70,182,340,303,250,295,243,230,236,440,359
Gene_71,331,199,292,315,359,597,280,432,335,306
Gene_72,352,228,333,377,328,466,231,101,283,290
Gene_73,207,224,758,396,549,715,620,444,514,207
Gene_74,261,363,431,490,451,508,292,909,396,1006
Gene_75,136,160,104,108,64,141,83,150,94,132
Gene_76,68,65,32,87,78,58,94,57,42,85
Gene_77,223,291,208,300,201,410,304,353,185,228
Gene_78,211,453,325,508,427,264,563,298,241,445
Gene_79,551,597,382,316,789,455,776,298,440,376
Gene_80,394,182,233,221,324,284,206,256,258,210
Gene_81,101,107,68,74,70,76,128,35,105,71
Gene_82,351,262,277,114,134,94,249,505,285,222
Gene_83,108,135,171,281,124,217,79,152,174,167
Gene_84,310,241,110,167,174,182,163,261,220,142
Gene_85,250,378,348,351,179,193,394,333,258,284
Gene_86,110,66,103,88,55,126,85,77,65,100
Gene_87,64,64,30,22,33,40,68,47,56,38
Gene_88,292,210,179,497,310,176,374,248,312,340
Gene_89,79,190,151,175,137,137,91,154,152,105
Gene_90,479,405,526,328,167,302,433,231,224,271
Gene_91,281,500,189,375,219,482,454,369,352,229
Gene_92,349,476,331,272,314,296,262,555,556,317
Gene_93,37,35,22,20,42,13,33,24,43,28
Gene_94,76,59,40,29,24,19,34,45,55,19
Gene_95,24,18,28,5,16,22,10,15,5,18
Gene_96,232,222,290,288,173,210,158,240,129,228
Gene_97,73,103,58,107,118,81,155,50,54,72
Gene_98,382,486,567,476,473,286,314,502,385,456
Gene_99,327,266,341,386,157,329,230,221,352,194
Gene_100,94,121,114,113,101,125,235,175,122,123
Gene_101,383,283,349,330,227,305,300,513,472,397
Gene_102,684,581,553,560,435,765,439,482,418,202
Gene_103,154,154,138,167,99,170,154,194,201,149
Gene_104,18,26,30,13,39,12,11,14,27,7
Gene_105,127,130,279,167,215,86,273,140,162,97
Gene_106,17,24,18,32,16,16,21,20,20,16
Gene_107,358,396,272,360,197,224,454,549,308,208
Gene_108,346,457,308,493,142,358,256,561,517,280
Gene_109,439,439,208,399,354,523,632,276,296,809
Gene_110,673,375,268,245,225,265,354,363,402,336
Gene_111,446,592,346,368,346,501,523,378,222,310
Gene_112,321,286,366,243,470,263,370,263,274,500
Gene_113,16,9,9,8,13,11,11,12,8,6
Gene_114,257,436,377,209,522,316,151,470,396,334
Gene_115,311,312,273,387,125,106,510,277,443,226
Gene_116,225,145,62,139,146,107,73,130,175,101
Gene_117,608,1018,455,430,401,329,702,765,841,401
Gene_118,301,307,256,180,261,306,350,150,420,234
Gene_119,201,340,305,194,287,337,264,241,106,206
Gene_120,136,197,151,121,137,195,255,248,98,159
Gene_121,313,249,363,310,266,501,281,355,349,319
Gene_122,213,314,129,261,223,286,182,227,142,294
Gene_123,737,221,358,478,451,381,455,268,806,592
Gene_124,62,31,56,65,37,39,31,42,60,91
Gene_125,120,89,189,122,165,155,125,133,140,137
Gene_126,101,113,46,68,91,49,65,99,168,134
Gene_127,27,34,53,42,49,47,56,73,47,51
Gene_128,109,83,98,199,94,62,47,48,72,68
Gene_129,439,626,484,517,279,295,410,437,656,496
Gene_130,163,125,72,148,202,169,187,226,260,213
Gene_131,92,59,29,54,61,27,27,42,25,18
Gene_132,112,159,161,110,161,121,86,94,115,78
Gene_133,299,352,409,267,380,172,305,353,288,408
Gene_134,158,135,164,120,107,216,312,151,206,147
Gene_135,502,620,619,940,419,413,250,415,443,331
Gene_136,68,75,67,62,96,125,34,75,82,74
Gene_137,421,413,534,377,368,404,420,414,389,466
Gene_138,390,304,390,400,262,318,348,314,288,460
Gene_139,95,185,116,152,118,129,159,108,137,122
Gene_140,444,478,224,267,368,257,89,345,283,313
Gene_141,211,161,224,242,163,196,158,243,151,185
Gene_142,233,184,245,170,98,154,282,250,147,258
Gene_143,43,68,58,60,40,59,38,56,33,69
Gene_144,20,43,22,15,23,33,21,18,31,35
Gene_145,255,236,243,156,401,444,374,229,201,311
Gene_146,197,243,346,254,428,180,175,237,379,204
Gene_147,292,253,450,652,374,425,249,483,384,654
Gene_148,234,199,265,283,244,172,153,417,225,135
Gene_149,347,199,236,432,340,417,275,201,338,422
Gene_150,93,62,31,113,43,54,56,96,75,55
Gene_151,207,164,131,117,111,84,229,213,130,119
Gene_152,142,117,155,177,202,125,53,201,98,140
Gene_153,50,36,40,55,25,24,68,20,52,49
Gene_154,305,350,178,255,199,287,278,307,252,259
Gene_155,288,196,165,250,187,219,162,234,112,269
Gene_156,146,194,310,206,139,135,301,110,120,254
Gene_157,55,45,114,42,43,64,60,49,59,70
Gene_158,85,54,98,100,113,84,52,82,117,106
Gene_159,52,25,42,38,41,26,53,57,25,59
Gene_160,142,364,498,559,474,469,326,412,502,372
Gene_161,257,273,585,425,469,619,574,318,457,298
Gene_162,52,38,22,21,32,57,29,43,26,27
Gene_163,54,72,139,126,78,46,95,108,89,112
Gene_164,148,308,272,353,269,232,263,315,368,165
Gene_165,376,191,424,479,379,267,183,379,322,157
Gene_166,92,146,221,289,194,166,185,225,167,212
Gene_167,292,173,216,136,195,174,441,265,324,275
Gene_168,737,463,439,607,331,363,438,521,856,320
Gene_169,168,120,233,181,180,155,131,139,186,170
