chrom,position,ref_reads,alt_reads
chr3,1000000,60,62
chr2,1000010,179,20
chr3,1000020,54,58
chr2,1000030,27,7
chr2,1000040,101,25
chr1,1000050,58,33
chr1,1000060,26,14
chr1,1000070,48,74
chr1,1000080,119,22
chr3,1000090,41,53
chr3,1000100,83,24
chr3,1000110,59,77
chr1,1000120,44,75
chr2,1000130,65,58
chr3,1000140,51,120
chr1,1000150,104,46
chr1,1000160,33,136
chr1,1000170,34,38
chr3,1000180,9,12
chr2,1000190,38,69
chr3,1000200,165,12
chr1,1000210,18,39
chr1,1000220,57,92
chr1,1000230,30,10
chr3,1000240,153,27
chr2,1000250,67,10
chr3,1000260,5,36
chr1,1000270,35,73
chr1,1000280,58,10
chr1,1000290,45,33
chr3,1000300,83,106
chr3,1000310,7,27
chr3,1000320,180,14
chr1,1000330,43,27
chr3,1000340,26,101
chr2,1000350,70,4
chr2,1000360,62,21
chr2,1000370,16,134
chr3,1000380,30,40
chr1,1000390,106,48
chr1,1000400,36,4
chr1,1000410,88,4
chr1,1000420,142,44
chr1,1000430,13,24
chr3,1000440,89,62
chr2,1000450,34,74
chr3,1000460,11,68
chr1,1000470,19,14
chr3,1000480,19,9
chr3,1000490,43,66
chr3,1000500,11,61
chr1,1000510,41,108
chr1,1000520,94,9
chr1,1000530,30,81
chr3,1000540,55,75
chr3,1000550,14,177
chr2,1000560,22,5
chr2,1000570,97,97
chr1,1000580,10,44
chr2,1000590,54,46
chr1,1000600,94,89
chr1,1000610,54,15
chr3,1000620,87,36
chr2,1000630,103,48
chr1,1000640,1,20
chr1,1000650,116,37
chr2,1000660,45,28
chr2,1000670,39,86
chr2,1000680,17,6
chr2,1000690,44,29
chr2,1000700,44,121
chr2,1000710,11,52
chr2,1000720,72,109
chr1,1000730,14,19
chr3,1000740,93,21
chr1,1000750,4,63
chr1,1000760,28,6
chr3,1000770,10,49
chr3,1000780,70,31
chr3,1000790,13,117
chr2,1000800,17,55
chr2,1000810,15,28
chr2,1000820,134,39
chr1,1000830,88,55
chr3,1000840,24,36
chr3,1000850,46,130
chr1,1000860,30,4
chr2,1000870,7,57
chr3,1000880,18,66
chr1,1000890,79,29
chr2,1000900,17,73
chr1,1000910,12,16
chr2,1000920,63,44
chr1,1000930,101,47
chr2,1000940,72,83
chr1,1000950,25,57
chr1,1000960,86,72
chr1,1000970,46,54
chr1,1000980,51,104
chr3,1000990,55,127
chr3,1001000,168,14
chr3,1001010,8,44
chr3,1001020,83,59
chr1,1001030,18,6
chr3,1001040,44,16
chr3,1001050,21,26
chr1,1001060,24,130
chr3,1001070,51,40
chr3,1001080,8,23
chr2,1001090,156,25
chr3,1001100,25,27
chr2,1001110,2,65
chr3,1001120,44,126
chr1,1001130,63,18
chr3,1001140,27,29
chr1,1001150,81,37
chr3,1001160,107,84
chr3,1001170,29,94
chr1,1001180,14,40
chr1,1001190,92,28
chr1,1001200,24,170
chr1,1001210,66,84
chr2,1001220,12,8
chr2,1001230,8,16
chr1,1001240,58,103
chr2,1001250,54,68
chr3,1001260,21,25
chr3,1001270,74,82
chr3,1001280,26,8
chr2,1001290,25,84
chr2,1001300,31,30
chr3,1001310,119,24
chr1,1001320,60,138
chr3,1001330,10,72
chr2,1001340,6,109
chr3,1001350,44,27
chr3,1001360,92,23
chr2,1001370,64,87
chr2,1001380,141,29
chr2,1001390,15,147
chr2,1001400,153,37
chr3,1001410,37,11
chr2,1001420,24,31
chr1,1001430,26,6
chr2,1001440,46,133
chr2,1001450,54,36
chr3,1001460,82,23
chr1,1001470,31,16
chr1,1001480,43,42
chr1,1001490,152,37
chr2,1001500,28,36
chr3,1001510,37,44
chr3,1001520,49,104
chr2,1001530,4,43
chr1,1001540,4,43
chr1,1001550,15,112
chr3,1001560,45,18
chr2,1001570,85,18
chr1,1001580,36,13
chr2,1001590,18,76
chr3,1001600,8,139
chr2,1001610,23,88
chr2,1001620,118,30
chr2,1001630,16,124
chr2,1001640,18,28
chr1,1001650,131,9
chr3,1001660,72,63
chr1,1001670,21,1
chr1,1001680,50,72
chr1,1001690,115,59
chr1,1001700,79,77
chr3,1001710,33,48
chr3,1001720,32,152
chr1,1001730,26,44
chr2,1001740,105,86
chr2,1001750,35,136
chr2,1001760,14,64
chr2,1001770,110,27
chr2,1001780,89,90
chr3,1001790,79,36
chr2,1001800,172,27
chr3,1001810,40,92
chr2,1001820,17,64
chr2,1001830,56,15
chr1,1001840,5,26
chr1,1001850,10,48
chr1,1001860,14,135
chr3,1001870,113,37
chr3,1001880,16,116
chr1,1001890,79,41
chr1,1001900,52,80
chr2,1001910,90,10
chr3,1001920,121,11
chr2,1001930,6,15
chr2,1001940,81,68
chr1,1001950,45,28
chr2,1001960,84,22
chr2,1001970,50,98
chr1,1001980,163,3
chr1,1001990,40,105
chr2,1002000,130,19
chr2,1002010,62,10
chr2,1002020,119,72
chr3,1002030,90,89
chr2,1002040,114,65
chr1,1002050,57,30
chr2,1002060,13,129
chr3,1002070,65,99
chr2,1002080,55,2
chr3,1002090,24,19
chr3,1002100,13,75
chr1,1002110,93,42
chr2,1002120,106,11
chr3,1002130,44,114
chr2,1002140,81,82
chr3,1002150,49,67
chr1,1002160,133,10
chr1,1002170,76,13
chr2,1002180,43,69
chr2,1002190,17,5
chr2,1002200,77,90
chr2,1002210,72,111
chr2,1002220,116,50
chr3,1002230,9,100
chr2,1002240,28,138
chr3,1002250,57,110
chr3,1002260,103,12
chr3,1002270,57,14
chr2,1002280,93,87
chr1,1002290,147,40
chr1,1002300,14,133
chr2,1002310,48,10
chr2,1002320,51,50
chr2,1002330,75,48
chr3,1002340,50,98
chr1,1002350,27,3
chr1,1002360,102,95
chr1,1002370,109,61
chr1,1002380,27,151
chr3,1002390,52,9
chr2,1002400,15,103
chr3,1002410,5,21
chr2,1002420,113,50
chr2,1002430,31,78
chr1,1002440,124,7
chr1,1002450,6,73
chr2,1002460,50,82
chr2,1002470,13,8
chr1,1002480,88,60
chr1,1002490,56,11
chr1,1002500,14,145
chr1,1002510,49,7
chr1,1002520,57,122
chr3,1002530,11,17
chr3,1002540,10,108
chr3,1002550,133,33
chr1,1002560,26,41
chr2,1002570,77,73
chr2,1002580,59,108
chr1,1002590,150,21
chr3,1002600,50,23
chr2,1002610,106,33
chr1,1002620,62,118
chr3,1002630,135,36
chr3,1002640,61,74
chr3,1002650,79,15
chr3,1002660,16,116
chr3,1002670,13,170
chr3,1002680,96,89
chr3,1002690,74,49
chr3,1002700,79,24
chr3,1002710,117,14
chr3,1002720,77,41
chr1,1002730,57,115
chr2,1002740,55,57
chr1,1002750,12,153
chr2,1002760,87,60
chr1,1002770,40,89
chr2,1002780,54,47
chr2,1002790,34,39
chr2,1002800,124,58
chr1,1002810,105,83
chr2,1002820,92,88
chr3,1002830,30,57
chr2,1002840,5,47
chr1,1002850,101,60
chr1,1002860,33,7
chr3,1002870,32,35
chr2,1002880,80,87
chr1,1002890,117,30
chr2,1002900,46,109
chr3,1002910,9,145
chr3,1002920,17,147
chr1,1002930,115,32
chr2,1002940,8,44
chr3,1002950,70,125
chr3,1002960,81,53
chr1,1002970,73,65
chr3,1002980,9,32
chr1,1002990,96,81
chr3,1003000,37,20
chr3,1003010,66,62
chr1,1003020,19,51
chr1,1003030,20,7
chr2,1003040,3,43
chr3,1003050,20,26
chr2,1003060,11,29
chr2,1003070,39,10
chr1,1003080,41,75
chr3,1003090,34,13
chr1,1003100,105,25
chr3,1003110,39,41
chr1,1003120,39,28
chr3,1003130,62,104
chr2,1003140,19,4
chr3,1003150,28,26
chr3,1003160,58,10
chr1,1003170,2,34
chr3,1003180,79,112
chr3,1003190,59,118
chr3,1003200,40,25
chr3,1003210,116,20
chr2,1003220,0,25
chr1,1003230,85,33
chr3,1003240,78,65
chr1,1003250,25,31
chr2,1003260,41,2
chr2,1003270,18,94
chr3,1003280,29,36
chr1,1003290,74,40
chr1,1003300,99,19
chr1,1003310,106,29
chr2,1003320,16,163
chr2,1003330,55,125
chr3,1003340,58,28
chr1,1003350,131,16
chr1,1003360,11,26
chr2,1003370,18,26
chr3,1003380,39,34
chr3,1003390,51,26
chr3,1003400,64,22
chr2,1003410,40,83
chr1,1003420,17,176
chr3,1003430,30,13
chr3,1003440,57,76
chr1,1003450,29,22
chr3,1003460,113,81
chr2,1003470,75,30
chr3,1003480,35,135
chr1,1003490,71,75
chr2,1003500,89,85
chr3,1003510,94,55
chr1,1003520,23,13
chr1,1003530,110,13
chr1,1003540,54,126
chr1,1003550,116,40
chr3,1003560,21,41
chr3,1003570,108,87
chr2,1003580,35,23
chr2,1003590,99,90
chr1,1003600,27,18
chr1,1003610,98,20
chr2,1003620,48,21
chr3,1003630,57,115
chr3,1003640,67,104
chr3,1003650,20,12
chr1,1003660,41,38
chr2,1003670,116,38
chr2,1003680,51,25
chr2,1003690,50,5
chr3,1003700,32,160
chr2,1003710,35,4
chr2,1003720,64,20
chr3,1003730,17,10
chr1,1003740,143,20
chr1,1003750,58,103
chr3,1003760,120,14
chr2,1003770,140,22
chr1,1003780,39,72
chr1,1003790,79,38
chr1,1003800,28,57
chr3,1003810,21,30
chr1,1003820,72,33
chr2,1003830,33,37
chr3,1003840,138,34
chr3,1003850,41,41
chr1,1003860,67,77
chr2,1003870,122,47
chr3,1003880,34,43
chr1,1003890,17,60
chr2,1003900,3,102
chr2,1003910,21,47
chr3,1003920,118,81
chr1,1003930,143,46
chr2,1003940,63,26
chr3,1003950,15,19
chr3,1003960,48,25
chr3,1003970,19,101
chr3,1003980,19,8
chr3,1003990,42,30
chr2,1004000,53,26
chr3,1004010,27,100
chr1,1004020,7,17
chr1,1004030,48,74
chr2,1004040,15,10
chr3,1004050,24,104
chr3,1004060,127,8
chr2,1004070,10,103
chr3,1004080,36,30
chr3,1004090,68,50
chr1,1004100,44,30
chr3,1004110,62,125
chr2,1004120,68,3
chr1,1004130,27,136
chr2,1004140,19,13
chr2,1004150,85,48
chr3,1004160,115,28
chr3,1004170,60,65
chr1,1004180,89,88
chr2,1004190,103,63
chr2,1004200,56,108
chr3,1004210,78,61
chr2,1004220,6,76
chr2,1004230,11,27
chr2,1004240,33,78
chr2,1004250,60,17
chr2,1004260,66,43
chr1,1004270,91,45
chr2,1004280,36,45
chr2,1004290,7,35
chr1,1004300,131,15
chr3,1004310,135,21
chr3,1004320,29,130
chr1,1004330,111,37
chr1,1004340,27,50
chr3,1004350,66,75
chr2,1004360,5,15
chr2,1004370,42,11
chr1,1004380,97,18
chr2,1004390,62,83
chr1,1004400,15,122
chr3,1004410,44,23
chr2,1004420,64,44
chr3,1004430,54,82
chr2,1004440,9,139
chr2,1004450,7,28
chr2,1004460,8,80
chr1,1004470,39,2
chr3,1004480,96,16
chr1,1004490,41,54
chr1,1004500,36,137
chr3,1004510,113,50
chr3,1004520,149,49
chr1,1004530,19,86
chr1,1004540,40,8
chr1,1004550,53,35
chr3,1004560,35,31
chr1,1004570,50,63
chr3,1004580,45,118
chr1,1004590,111,84
chr3,1004600,46,58
chr1,1004610,24,34
chr2,1004620,50,69
chr2,1004630,17,35
chr3,1004640,87,33
chr3,1004650,34,8
chr2,1004660,23,6
chr3,1004670,68,20
chr3,1004680,77,42
chr2,1004690,16,37
chr1,1004700,69,130
chr3,1004710,30,127
chr3,1004720,96,70
chr1,1004730,60,55
chr1,1004740,15,5
chr3,1004750,67,21
chr3,1004760,23,0
chr1,1004770,16,19
chr3,1004780,3,40
chr1,1004790,83,16
chr1,1004800,19,2
chr3,1004810,36,111
chr3,1004820,122,57
chr1,1004830,17,86
chr3,1004840,57,114
chr1,1004850,18,141
chr2,1004860,109,88
chr2,1004870,61,121
chr1,1004880,66,77
chr1,1004890,20,32
chr3,1004900,102,78
chr1,1004910,156,42
chr1,1004920,84,106
chr3,1004930,53,67
chr3,1004940,7,24
chr2,1004950,30,56
chr1,1004960,28,56
chr1,1004970,160,20
chr2,1004980,46,141
chr1,1004990,48,45
chr3,1005000,11,51
chr1,1005010,12,51
chr3,1005020,44,4
chr1,1005030,29,131
chr2,1005040,28,3
chr3,1005050,86,28
chr3,1005060,24,41
chr2,1005070,127,22
chr3,1005080,18,36
chr2,1005090,92,8
chr1,1005100,85,24
chr2,1005110,9,18
chr1,1005120,28,84
chr3,1005130,21,152
chr3,1005140,29,80
chr2,1005150,59,122
chr1,1005160,90,44
chr2,1005170,121,3
chr3,1005180,125,29
chr3,1005190,32,45
chr1,1005200,48,85
chr1,1005210,64,30
chr3,1005220,57,119
chr3,1005230,74,65
chr1,1005240,153,30
chr2,1005250,31,9
chr2,1005260,35,148
chr1,1005270,39,118
chr1,1005280,15,105
chr1,1005290,154,17
chr3,1005300,7,189
chr2,1005310,89,29
chr1,1005320,54,1
chr2,1005330,2,113
chr3,1005340,117,54
chr3,1005350,58,112
chr1,1005360,45,11
chr1,1005370,11,20
chr1,1005380,18,114
chr1,1005390,25,7
chr2,1005400,10,32
chr1,1005410,92,26
chr2,1005420,52,72
chr3,1005430,32,17
chr3,1005440,24,12
chr2,1005450,97,35
chr2,1005460,61,20
chr1,1005470,15,88
chr1,1005480,72,59
chr1,1005490,74,31
chr3,1005500,82,78
chr2,1005510,25,13
chr2,1005520,55,141
chr2,1005530,12,107
chr2,1005540,77,82
chr1,1005550,35,131
chr1,1005560,46,49
chr2,1005570,21,7
chr1,1005580,14,33
chr3,1005590,69,78
chr1,1005600,28,43
chr3,1005610,14,88
chr3,1005620,65,65
chr2,1005630,20,143
chr2,1005640,35,101
chr1,1005650,47,41
chr2,1005660,48,70
chr3,1005670,112,47
chr3,1005680,5,39
chr1,1005690,71,128
chr3,1005700,128,14
chr2,1005710,49,23
chr1,1005720,77,93
chr1,1005730,153,10
chr1,1005740,72,4
chr2,1005750,34,24
chr3,1005760,81,47
chr2,1005770,31,30
chr1,1005780,139,47
chr3,1005790,127,34
chr1,1005800,49,92
chr2,1005810,61,91
chr1,1005820,142,40
chr2,1005830,58,36
chr1,1005840,64,101
chr1,1005850,83,12
chr1,1005860,24,4
chr2,1005870,81,12
chr2,1005880,36,128
chr2,1005890,8,18
chr2,1005900,53,140
chr2,1005910,48,112
chr3,1005920,71,116
chr1,1005930,101,88
chr2,1005940,62,94
chr3,1005950,185,12
chr3,1005960,20,26
chr1,1005970,40,101
chr1,1005980,9,15
chr1,1005990,32,16
chr2,1006000,133,51
chr1,1006010,68,117
chr1,1006020,34,68
chr1,1006030,20,135
chr3,1006040,85,43
chr2,1006050,18,66
chr1,1006060,50,55
chr3,1006070,27,137
chr2,1006080,44,46
chr1,1006090,31,33
chr3,1006100,67,84
chr2,1006110,13,42
chr1,1006120,4,85
chr1,1006130,151,27
chr3,1006140,34,4
chr1,1006150,16,111
chr3,1006160,82,104
chr3,1006170,44,66
chr3,1006180,56,53
chr2,1006190,36,2
chr3,1006200,17,41
chr2,1006210,53,92
chr1,1006220,132,60
chr2,1006230,120,40
chr3,1006240,21,124
chr1,1006250,62,15
chr3,1006260,31,136
chr3,1006270,62,18
chr1,1006280,64,82
chr3,1006290,17,107
chr2,1006300,62,124
chr1,1006310,8,12
chr1,1006320,45,105
chr1,1006330,75,36
chr3,1006340,99,33
chr3,1006350,8,164
chr1,1006360,25,50
chr2,1006370,74,106
chr3,1006380,105,80
chr3,1006390,128,8
chr3,1006400,130,23
chr2,1006410,37,40
chr3,1006420,14,49
chr3,1006430,92,100
chr2,1006440,36,143
chr2,1006450,180,12
chr3,1006460,53,27
chr1,1006470,46,20
chr1,1006480,85,83
chr2,1006490,88,11
chr3,1006500,11,126
chr2,1006510,136,47
chr2,1006520,20,146
chr1,1006530,21,18
chr2,1006540,10,155
chr2,1006550,33,33
chr3,1006560,9,59
chr3,1006570,31,2
chr2,1006580,35,127
chr2,1006590,28,150
chr3,1006600,13,7
chr1,1006610,120,16
chr3,1006620,43,30
chr3,1006630,18,119
chr3,1006640,14,8
chr3,1006650,71,92
chr3,1006660,28,3
chr1,1006670,88,5
chr3,1006680,5,30
chr3,1006690,110,11
chr1,1006700,58,113
chr2,1006710,20,155
chr1,1006720,104,32
chr3,1006730,7,20
chr2,1006740,118,23
chr1,1006750,48,63
chr2,1006760,157,26
chr1,1006770,33,76
chr1,1006780,109,46
chr2,1006790,45,34
chr2,1006800,72,125
chr2,1006810,36,11
chr2,1006820,30,90
chr3,1006830,43,17
chr1,1006840,70,104
chr3,1006850,132,32
chr1,1006860,51,129
chr3,1006870,146,30
chr3,1006880,90,70
chr1,1006890,43,22
chr3,1006900,18,36
chr2,1006910,107,46
chr2,1006920,16,85
